Suma de USD;;CUENCA/PROVINCIA;;;;;;;
AÑO;MES;CUENCA AUSTRAL OFF-SHORE;CUENCA AUSTRAL ON-SHORE;CUENCA CUYANA;CUENCA GOLFO SAN JORGE;CUENCA NEUQUINA;CUENCA NOROESTE;TOTAL PROVINCIA
1993;1;0;0;0;0;0;0;0
1993;2;0;0;0;0;0;0;0
1993;3;0;0;0;0;0;0;0
1993;4;0;0;0;0;0;0;0
1993;5;0;0;0;0;0;0;0
1993;6;0;0;0;0;0;0;0
1993;7;0;0;0;0;0;0;0
1993;8;0;0;0;0;0;0;0
1993;9;0;0;0;0;0;0;0
1993;10;0;0;0;0;0;0;0
1993;11;0;0;0;0;0;0;0
1993;12;0;0;0;0;0;0;0
1994;1;0;0;0;0;0;0;0
1994;2;0;0;0;0;0;0;0
1994;3;0;0;0;0;0;0;0
1994;4;0;0;0;0;0;0;0
1994;5;0;0;0;0;0;0;0
1994;6;0;0;0;0;0;0;0
1994;7;0;0;0;0;0;0;0
1994;8;0;0;0;0;0;0;0
1994;9;0;0;0;0;0;0;0
1994;10;0;0;0;0;0;0;0
1994;11;0;0;0;0;0;0;0
1994;12;0;0;0;0;0;0;0
1995;1;0;0;0;0;0;0;0
1995;2;0;0;0;0;0;0;0
1995;3;0;0;0;0;0;0;0
1995;4;0;0;0;0;0;0;0
1995;5;0;0;0;0;0;0;0
1995;6;0;0;0;0;0;0;0
1995;7;0;0;0;0;0;0;0
1995;8;0;0;0;0;0;0;0
1995;9;0;0;0;0;0;0;0
1995;10;0;0;0;0;0;0;0
1995;11;0;0;0;0;0;0;0
1995;12;0;0;0;0;0;0;0
1996;1;0;0;0;0;0;0;0
1996;2;0;0;0;0;0;0;0
1996;3;0;0;0;0;0;0;0
1996;4;0;0;0;0;0;0;0
1996;5;0;0;0;0;0;0;0
1996;6;0;0;0;0;0;0;0
1996;7;0;0;0;0;0;0;0
1996;8;0;0;0;0;0;0;0
1996;9;0;0;0;0;0;0;0
1996;10;0;0;0;0;0;0;0
1996;11;0;0;0;0;0;0;0
1996;12;0;0;0;0;0;0;0
1997;1;0;0;0;0;0;0;0
1997;2;0;0;0;0;0;0;0
1997;3;0;0;0;0;0;0;0
1997;4;0;0;0;0;0;0;0
1997;5;0;0;0;0;0;0;0
1997;6;0;0;0;0;0;0;0
1997;7;0;0;0;0;0;0;0
1997;8;0;0;0;0;0;0;0
1997;9;0;0;0;0;0;0;0
1997;10;0;0;0;0;0;0;0
1997;11;0;0;0;0;0;0;0
1997;12;0;0;0;0;0;0;0
1998;1;0;0;0;0;0;0;0
1998;2;0;0;0;0;0;0;0
1998;3;0;0;0;0;0;0;0
1998;4;0;0;0;0;0;0;0
1998;5;0;0;0;0;0;0;0
1998;6;0;0;0;0;0;0;0
1998;7;0;0;0;0;0;0;0
1998;8;0;0;0;0;0;0;0
1998;9;0;0;0;0;0;0;0
1998;10;0;0;0;0;0;0;0
1998;11;0;0;0;0;0;0;0
1998;12;0;0;0;0;0;0;0
1999;1;611467;1234130;2856;193180;7502442;1828747;11372822
1999;2;588991.070;1091384.900;2734;188673;7470302.010;1505817;10847901.980
1999;3;533818.930;1414549.550;2839;237931;9495407.510;1632627;13317172.990
1999;4;506810;1308370;2681;228054;9042137.760;1906020;12994072.760
1999;5;614349.650;1552842.470;3184;271792;11841846;2324059;16608073.120
1999;6;874327.900;1536406;3004;225657;12410740.270;2327144;17377279.170
1999;7;891508;1589250;3371;342739;13177146.810;2468422;18472436.810
1999;8;680524;1545000.690;3144;314097;12016588;2564002;17123355.690
1999;9;717231;1454563;2892;282135.880;9717387;2696186;14870394.880
1999;10;815423;1363908;3859;252360;8042479;2657536;13135565
1999;11;595537;1082957;2689;250538;7197962.900;2349152;11478835.900
1999;12;688636.530;1244414.370;2792;250640.910;7335685.820;2365743.390;11887913.020
2000;1;303112.350;1626658.230;6800.230;234746.960;8079342.890;2344328.360;12594989.020
2000;2;273008.300;1744259.450;6505.390;272433.510;8118647.010;2307558.210;12722411.870
2000;3;294604.460;1445769.400;5793.410;342307.300;9635390.410;2039400.550;13763265.530
2000;4;306178.680;1483289.450;22901.260;373402.970;8847621.560;2051702.750;13085096.670
2000;5;335518.420;1950428.420;33831.870;497241.060;13648578.410;3332040.200;19797638.380
2000;6;309866.490;2044004.310;31928.290;533570.190;13630756.490;3234588.090;19784713.860
2000;7;308084.140;2102215.810;24295.470;514289.100;14797057.170;3328584.270;21074525.960
2000;8;508388.450;2498569.730;27102.900;535503.340;13737955.080;3400142.650;20707662.150
2000;9;469571.390;2315982.050;28802.040;478341.620;11856298.220;2967110.780;18116106.100
2000;10;485891.693;2215375.530;28347.590;497251.230;8520040.450;2931652.460;14678558.953
2000;11;437924.466;2017540.320;28400.850;473640.400;7026569.480;2686224.895;12670300.411
2000;12;493552.450;1902629.920;29579.630;444019.480;9051136.560;2841986.260;14762904.300
2001;1;483093.485;1980207.997;29939.124;425298.320;8102023.096;2761722.716;13782284.738
2001;2;452573.973;1669908.403;23963.167;371124.143;7972486.410;2683754.724;13173810.820
2001;3;513418.378;2118493.466;24599.438;375523.743;10869598.448;3003246.692;16904880.165
2001;4;504942.160;2107082.034;28327.189;427243.344;10992104.986;3171646.935;17231346.647
2001;5;576094.447;2415273.132;32216.145;536386.349;15338010.352;3584639.447;22482619.871
2001;6;666986.888;2482389.220;31857.152;583040.340;13598614.878;3629497.454;20992385.932
